field,fieldtype,from,fromString,to,toString,key,created,author,project
status,jira,10412,In PO Review,6,Merged,PAINTROID-17,2019-06-04T12:45:07.977+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-17,2019-06-04T12:45:07.977+0200,matthiasmueller,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-16,2018-11-07T21:03:19.709+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-16,2018-11-13T10:47:54.639+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-16,2018-11-13T10:49:38.098+0100,thomasschwengler,PAINTROID
assignee,jira,,,christophbinder,Christoph Binder,PAINTROID-16,2018-11-26T13:12:42.326+0100,christophbinder,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-16,2018-11-26T13:12:42.326+0100,christophbinder,PAINTROID
Developer,custom,,,christophbinder,Christoph Binder,PAINTROID-16,2018-11-26T13:12:42.326+0100,christophbinder,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-16,2019-03-15T11:21:09.436+0100,christophbinder,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-16,2019-03-15T11:21:09.436+0100,christophbinder,PAINTROID
resolution,jira,,,10200,Won't Do,PAINTROID-16,2019-03-22T19:48:30.855+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10212,Rejected,PAINTROID-16,2019-03-22T19:48:30.855+0100,thomasschwengler,PAINTROID
Acceptance Criteria,custom,,,,"* No more Context or Activity usage in the BaseTool class
* No more BottomBar state in the BaseTool",PAINTROID-15,2018-11-07T20:34:15.584+0100,thomasschwengler,PAINTROID
Acceptance Criteria,custom,,"* No more Context or Activity usage in the BaseTool class
* No more BottomBar state in the BaseTool",,"* No more Context or Activity usage in the BaseTool
* No more BottomBar state in the BaseTool
* No more direct access to the DrawingSurface in the BaseTool",PAINTROID-15,2018-11-07T20:35:03.303+0100,thomasschwengler,PAINTROID
labels,jira,,,,Code_Refactoring,PAINTROID-15,2018-11-07T21:03:28.387+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-15,2018-11-13T10:48:35.876+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-15,2018-11-13T10:49:36.895+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-15,2018-11-13T11:28:32.796+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-15,2018-11-13T11:28:32.796+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-15,2018-11-13T11:28:32.796+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-15,2018-12-10T17:32:09.992+0100,aleksandarstojicic,PAINTROID
assignee,jira,aleksandarstojicic,Aleksandar Stojicic,,,PAINTROID-15,2018-12-20T18:54:41.999+0100,aleksandarstojicic,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-15,2018-12-20T18:54:41.999+0100,aleksandarstojicic,PAINTROID
Developer,custom,thomasschwengler,Thomas Schwengler,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-15,2018-12-20T18:54:41.999+0100,aleksandarstojicic,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-15,2019-02-18T09:28:48.747+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-15,2019-02-18T09:28:51.554+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-15,2019-02-18T09:28:51.554+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-15,2019-02-18T09:28:51.554+0100,thomasschwengler,PAINTROID
assignee,jira,aleksandarstojicic,Aleksandar Stojicic,,,PAINTROID-15,2019-02-18T09:28:59.451+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-15,2019-02-18T09:29:01.316+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-15,2019-02-21T14:56:37.905+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-15,2019-02-21T14:56:37.905+0100,thomasschwengler,PAINTROID
Developer,custom,aleksandarstojicic,Aleksandar Stojicic,thomasschwengler,Thomas Schwengler,PAINTROID-15,2019-02-21T14:56:37.905+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-15,2019-03-11T10:43:50.959+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-15,2019-03-11T10:43:50.959+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-15,2019-03-11T10:44:05.583+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-15,2019-03-11T10:44:11.114+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomashirsch,Thomas Hirsch,PAINTROID-15,2019-03-11T10:45:40.156+0100,thomashirsch,PAINTROID
assignee,jira,thomashirsch,Thomas Hirsch,thomasschwengler,Thomas Schwengler,PAINTROID-15,2019-03-11T10:45:42.705+0100,thomashirsch,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-15,2019-03-11T10:45:42.705+0100,thomashirsch,PAINTROID
Code Reviewer,custom,thomasschwengler,Thomas Schwengler,thomashirsch,Thomas Hirsch,PAINTROID-15,2019-03-11T10:45:42.705+0100,thomashirsch,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-15,2019-03-15T20:08:45.099+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-15,2019-03-15T20:08:45.099+0100,thomasschwengler,PAINTROID
Comment,jira,"Needs to be rebased and finished.

WIP at https://github.com/Catrobat/Paintroid/pull/594 from [~AleksandarStojicic]",,,,PAINTROID-15,2019-03-22T11:37:48.755+0100,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-15,2019-03-23T21:36:08.148+0100,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-15,2019-03-23T21:36:10.341+0100,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-15,2019-03-23T21:36:10.341+0100,alexanderhiebl,PAINTROID
Code Reviewer,custom,thomashirsch,Thomas Hirsch,alexanderhiebl,Alexander Hiebl,PAINTROID-15,2019-03-23T21:36:10.341+0100,alexanderhiebl,PAINTROID
assignee,jira,,,vesnakrnjic,Vesna Krnjic,PAINTROID-15,2019-03-26T19:22:04.024+0100,thomasschwengler,PAINTROID
resolution,jira,,,6,Done,PAINTROID-15,2019-03-27T09:32:08.136+0100,vesnakrnjic,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-15,2019-03-27T09:32:08.136+0100,vesnakrnjic,PAINTROID
Code Merger,custom,,,vesnakrnjic,Vesna Krnjic,PAINTROID-15,2019-03-27T09:32:08.136+0100,vesnakrnjic,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-15,2019-05-24T18:53:37.741+0200,thomasschwengler,PAINTROID
Story Points,custom,,,,13,PAINTROID-14,2018-11-07T20:25:52.090+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-14,2018-11-12T17:50:21.493+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-14,2018-11-12T17:50:23.569+0100,wslany,PAINTROID
assignee,jira,,,djordjerajic,Djordje Rajic,PAINTROID-14,2018-11-19T11:31:41.543+0100,djordjerajic,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-14,2018-11-19T11:31:41.543+0100,djordjerajic,PAINTROID
Developer,custom,,,djordjerajic,Djordje Rajic,PAINTROID-14,2018-11-19T11:31:41.543+0100,djordjerajic,PAINTROID
assignee,jira,djordjerajic,Djordje Rajic,,,PAINTROID-14,2018-11-21T22:02:24.794+0100,djordjerajic,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-14,2018-11-21T22:02:24.794+0100,djordjerajic,PAINTROID
assignee,jira,,,djordjerajic,Djordje Rajic,PAINTROID-14,2018-11-21T22:03:16.053+0100,djordjerajic,PAINTROID
assignee,jira,djordjerajic,Djordje Rajic,thomasschwengler,Thomas Schwengler,PAINTROID-14,2018-11-21T22:07:53.468+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,djordjerajic,Djordje Rajic,PAINTROID-14,2018-11-21T22:07:57.223+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-14,2018-11-21T22:07:57.223+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-14,2018-11-21T22:07:57.223+0100,thomasschwengler,PAINTROID
assignee,jira,djordjerajic,Djordje Rajic,,,PAINTROID-14,2018-11-23T17:50:12.907+0100,djordjerajic,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-14,2018-11-23T17:50:12.907+0100,djordjerajic,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-14,2018-11-26T13:01:18.155+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,djordjerajic,Djordje Rajic,PAINTROID-14,2018-11-26T13:01:19.685+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-14,2018-11-26T13:01:19.685+0100,thomasschwengler,PAINTROID
assignee,jira,djordjerajic,Djordje Rajic,,,PAINTROID-14,2018-11-26T19:54:52.106+0100,djordjerajic,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-14,2018-11-26T19:54:52.106+0100,djordjerajic,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-14,2018-11-27T13:46:05.066+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,djordjerajic,Djordje Rajic,PAINTROID-14,2018-11-27T14:29:12.187+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-14,2018-11-27T14:29:12.187+0100,thomasschwengler,PAINTROID
assignee,jira,djordjerajic,Djordje Rajic,,,PAINTROID-14,2018-11-29T10:09:48.180+0100,djordjerajic,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-14,2018-11-29T10:09:48.180+0100,djordjerajic,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-14,2018-12-03T11:35:55.980+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-14,2018-12-03T11:35:57.316+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-14,2018-12-03T11:35:57.316+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-14,2018-12-03T11:36:05.666+0100,thomasschwengler,PAINTROID
resolution,jira,,,6,Done,PAINTROID-14,2018-12-03T11:37:06.269+0100,thomasschwengler,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-14,2018-12-03T11:37:06.269+0100,thomasschwengler,PAINTROID
Code Merger,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-14,2018-12-03T11:37:06.269+0100,thomasschwengler,PAINTROID
Fix Version,jira,,,13402,2.2.0,PAINTROID-14,2019-02-07T09:37:24.797+0100,thomasschwengler,PAINTROID
description,jira,,"All our tools use application logic classes ({{Context}}, {{Activity}}, etc.) by using the {{BaseTool}} class.

We need to make the tools observable, ui classes should then observe and change properties of the corresponding tool classes.

Offending occurences include but are not limited to:
h3. BaseTool
{code:java}
public BaseTool(Context context, ToolType toolType) { .. }
private void resetAndInitializeToolOptions() { ... }
public void hide() { ... }
public void toggleShowToolOptions() { ... }
private void dimBackground(boolean darken) { ... }
public boolean getToolOptionsAreShown() { ... }
{code}

h3. Why is this bad
* Most of our tool ""unit"" tests need an Activity or Context to work, therefor making them really slow
* It violates the SOLID principles
* Tools know about their observing views and even modify and setup them, therefore making it impossible to have more than one observing view at a time

h6. References
http://misko.hevery.com/attachments/Guide-Writing%20Testable%20Code.pdf",,"All our tools use application logic classes ({{Context}}, {{Activity}}, etc.) by using the {{BaseTool}} class.

We need to make the tools observable, ui classes should then observe and change properties of the corresponding tool classes.

Offending occurences include but are not limited to:
h3. BaseTool
{code:java}
public BaseTool(Context context, ToolType toolType) { .. }
private void resetAndInitializeToolOptions() { ... }
public void hide() { ... }
public void toggleShowToolOptions() { ... }
private void dimBackground(boolean darken) { ... }
public boolean getToolOptionsAreShown() { ... }
{code}

h3. Why is this bad
* Most of our tool ""unit"" tests need an Activity or Context to work, therefor making them really slow
* It violates the SOLID principles
* Makes parallel testing impossible
* Tools know about their observing views and even modify and setup them, therefore making it impossible to have more than one observing view at a time

h6. References
http://misko.hevery.com/attachments/Guide-Writing%20Testable%20Code.pdf",PAINTROID-13,2018-11-06T11:59:36.452+0100,thomasschwengler,PAINTROID
Flagged,custom,,,[10902],Impediment,PAINTROID-13,2018-11-07T20:38:31.779+0100,thomasschwengler,PAINTROID
Flagged,custom,[10902],Impediment,,,PAINTROID-13,2018-11-07T20:38:35.511+0100,thomasschwengler,PAINTROID
Story Points,custom,,,,40,PAINTROID-13,2018-11-08T15:29:13.433+0100,thomasschwengler,PAINTROID
description,jira,,"All our tools use application logic classes ({{Context}}, {{Activity}}, etc.) by using the {{BaseTool}} class.

We need to make the tools observable, ui classes should then observe and change properties of the corresponding tool classes.

Offending occurences include but are not limited to:
h3. BaseTool
{code:java}
public BaseTool(Context context, ToolType toolType) { .. }
private void resetAndInitializeToolOptions() { ... }
public void hide() { ... }
public void toggleShowToolOptions() { ... }
private void dimBackground(boolean darken) { ... }
public boolean getToolOptionsAreShown() { ... }
{code}

h3. Why is this bad
* Most of our tool ""unit"" tests need an Activity or Context to work, therefor making them really slow
* It violates the SOLID principles
* Makes parallel testing impossible
* Tools know about their observing views and even modify and setup them, therefore making it impossible to have more than one observing view at a time

h6. References
http://misko.hevery.com/attachments/Guide-Writing%20Testable%20Code.pdf",,"h3. This Ticket has been split up in separate sub tickets


All our tools use application logic classes ({{Context}}, {{Activity}}, etc.) by using the {{BaseTool}} class.

We need to make the tools observable, ui classes should then observe and change properties of the corresponding tool classes.

Offending occurences include but are not limited to:
h3. BaseTool
{code:java}
public BaseTool(Context context, ToolType toolType) { .. }
private void resetAndInitializeToolOptions() { ... }
public void hide() { ... }
public void toggleShowToolOptions() { ... }
private void dimBackground(boolean darken) { ... }
public boolean getToolOptionsAreShown() { ... }
{code}

h3. Why is this bad
* Most of our tool ""unit"" tests need an Activity or Context to work, therefor making them really slow
* It violates the SOLID principles
* Makes parallel testing impossible
* Tools know about their observing views and even modify and setup them, therefore making it impossible to have more than one observing view at a time

h6. References
http://misko.hevery.com/attachments/Guide-Writing%20Testable%20Code.pdf",PAINTROID-13,2018-11-08T15:29:13.433+0100,thomasschwengler,PAINTROID
resolution,jira,,,10200,Won't Do,PAINTROID-13,2018-11-13T10:48:53.792+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10212,Rejected,PAINTROID-13,2018-11-13T10:48:53.792+0100,thomasschwengler,PAINTROID
summary,jira,,Refactor Tolls - Public static tool state,,Refactor Tools - Public static tool state,PAINTROID-12,2018-11-06T11:04:56.917+0100,thomasschwengler,PAINTROID
Story Points,custom,,,,5,PAINTROID-12,2018-11-07T20:24:50.379+0100,thomasschwengler,PAINTROID
assignee,jira,,,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-12,2018-11-09T12:13:24.841+0100,aleksandarstojicic,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-12,2018-11-12T17:50:07.732+0100,wslany,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-12,2018-11-12T17:50:10.351+0100,wslany,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-12,2018-11-14T14:08:24.192+0100,aleksandarstojicic,PAINTROID
Developer,custom,,,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-12,2018-11-14T14:08:24.192+0100,aleksandarstojicic,PAINTROID
assignee,jira,aleksandarstojicic,Aleksandar Stojicic,,,PAINTROID-12,2018-12-04T17:15:19.361+0100,aleksandarstojicic,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-12,2018-12-04T17:15:19.361+0100,aleksandarstojicic,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-12,2018-12-05T11:56:36.977+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-12,2018-12-19T13:51:05.298+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-12,2018-12-19T13:51:05.298+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-12,2018-12-19T13:51:05.298+0100,thomasschwengler,PAINTROID
assignee,jira,aleksandarstojicic,Aleksandar Stojicic,,,PAINTROID-12,2018-12-20T16:13:48.295+0100,aleksandarstojicic,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-12,2018-12-20T16:13:48.295+0100,aleksandarstojicic,PAINTROID
assignee,jira,,,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-12,2018-12-20T18:48:44.485+0100,aleksandarstojicic,PAINTROID
assignee,jira,aleksandarstojicic,Aleksandar Stojicic,,,PAINTROID-12,2019-02-06T10:14:19.094+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-12,2019-02-18T09:07:46.248+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,aleksandarstojicic,Aleksandar Stojicic,PAINTROID-12,2019-02-18T09:07:47.433+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-12,2019-02-18T09:07:47.433+0100,thomasschwengler,PAINTROID
assignee,jira,aleksandarstojicic,Aleksandar Stojicic,thomasschwengler,Thomas Schwengler,PAINTROID-12,2019-02-18T09:07:50.848+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-12,2019-02-21T14:56:34.885+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-12,2019-02-21T14:56:34.885+0100,thomasschwengler,PAINTROID
Developer,custom,aleksandarstojicic,Aleksandar Stojicic,thomasschwengler,Thomas Schwengler,PAINTROID-12,2019-02-21T14:56:34.885+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomashirsch,Thomas Hirsch,PAINTROID-12,2019-02-22T14:58:56.617+0100,thomashirsch,PAINTROID
assignee,jira,thomashirsch,Thomas Hirsch,,,PAINTROID-12,2019-02-22T14:58:57.894+0100,thomashirsch,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-12,2019-02-22T14:58:57.894+0100,thomashirsch,PAINTROID
Code Reviewer,custom,thomasschwengler,Thomas Schwengler,thomashirsch,Thomas Hirsch,PAINTROID-12,2019-02-22T14:58:57.894+0100,thomashirsch,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-12,2019-03-04T10:53:02.327+0100,matthiasmueller,PAINTROID
assignee,jira,matthiasmueller,Matthias Mueller,thomasschwengler,Thomas Schwengler,PAINTROID-12,2019-03-04T10:53:07.320+0100,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-12,2019-03-04T10:53:07.320+0100,matthiasmueller,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-12,2019-03-05T14:00:13.918+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-12,2019-03-05T14:00:13.918+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomashirsch,Thomas Hirsch,PAINTROID-12,2019-03-11T10:45:54.805+0100,thomashirsch,PAINTROID
assignee,jira,thomashirsch,Thomas Hirsch,,,PAINTROID-12,2019-03-11T10:45:56.316+0100,thomashirsch,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-12,2019-03-11T10:45:56.316+0100,thomashirsch,PAINTROID
